"","var","p_val","v_stat","test","n_group","group"
"2","objawy",0,109.204301075269,"0-2-90",70,"all"
"3","RodCzK",0.598,1.02857142857143,"0-2-90",70,"all"
"4","RodA",0.002,12.5467625899281,"0-2-90",70,"all"
"5","MRodCzK",0,18.8044280442804,"0-2-90",70,"all"
"6","MRodA",0.004,11.1039426523297,"0-2-90",70,"all"
"7","ConeCzK",0.052,5.90041493775934,"0-2-90",70,"all"
"8","ConeAa",0.266,2.64981949458484,"0-2-90",70,"all"
"9","ConeAb",0.16,3.66308243727599,"0-2-90",70,"all"
"10","FlCzK",0.369,1.99183673469388,"0-2-90",70,"all"
"11","FlA",0.01,9.18545454545455,"0-2-90",70,"all"
"12","OsPA",0,31.6618705035971,"0-2-90",70,"all"
"13","MDSAP",0.387,1.89787234042553,"0-2-90",60,"all"
"14","PSDSAP",0.113,4.36752136752137,"0-2-90",60,"all"
"15","MDFDF",0,55.9,"0-2-90",60,"all"
"16","PSDFDF",0,113.63179916318,"0-2-90",60,"all"
"17","RB",0,89.0333333333333,"0-2-90",60,"all"
