"","var","p_val","v_stat","test","n_group","group"
"2","objawy",0,4358,"0-2",70,"all"
"3","objawy",0,4550,"0-90",70,"all"
"4","objawy",0.013,2660,"2-90",70,"all"
"5","RodCzK",0.835,2399.5,"0-2",70,"all"
"6","RodCzK",0.668,2346.5,"0-90",70,"all"
"7","RodCzK",0.877,2412.5,"2-90",70,"all"
"8","RodA",0.447,2633,"0-2",70,"all"
"9","RodA",0.414,2646.5,"0-90",70,"all"
"10","RodA",0.985,2445,"2-90",70,"all"
"11","MRodCzK",0.032,1935,"0-2",70,"all"
"12","MRodCzK",0.045,1969,"0-90",70,"all"
"13","MRodCzK",0.838,2499.5,"2-90",70,"all"
"14","MRodA",0.082,2868,"0-2",70,"all"
"15","MRodA",0.126,2817.5,"0-90",70,"all"
"16","MRodA",0.881,2413.5,"2-90",70,"all"
"17","ConeCzK",0.839,2499,"0-2",70,"all"
"18","ConeCzK",0.299,2203,"0-90",70,"all"
"19","ConeCzK",0.239,2169.5,"2-90",70,"all"
"20","ConeAa",0.449,2268,"0-2",70,"all"
"21","ConeAa",0.809,2391.5,"0-90",70,"all"
"22","ConeAa",0.572,2586,"2-90",70,"all"
"23","ConeAb",0.225,2158.5,"0-2",70,"all"
"24","ConeAb",0.436,2262.5,"0-90",70,"all"
"25","ConeAb",0.591,2579.5,"2-90",70,"all"
"26","FlCzK",0.508,2292,"0-2",70,"all"
"27","FlCzK",0.995,2452,"0-90",70,"all"
"28","FlCzK",0.567,2586,"2-90",70,"all"
"29","FlA",0.253,2175,"0-2",70,"all"
"30","FlA",0.052,1982.5,"0-90",70,"all"
"31","FlA",0.485,2282,"2-90",70,"all"
"32","OsPA",0.257,2722.5,"0-2",70,"all"
"33","OsPA",0.1,2055,"0-90",70,"all"
"34","OsPA",0.014,1862,"2-90",70,"all"
"35","MDSAP",0.761,1741.5,"0-2",60,"all"
"36","MDSAP",0.871,1768.5,"0-90",60,"all"
"37","MDSAP",0.854,1835.5,"2-90",60,"all"
"38","PSDSAP",0.939,1785,"0-2",60,"all"
"39","PSDSAP",0.867,1832.5,"0-90",60,"all"
"40","PSDSAP",0.84,1839,"2-90",60,"all"
"41","MDFDF",0.624,1894,"0-2",60,"all"
"42","MDFDF",0.763,1742,"0-90",60,"all"
"43","MDFDF",0.525,1678.5,"2-90",60,"all"
"44","PSDFDF",0.112,1496.5,"0-2",60,"all"
"45","PSDFDF",0.181,2055.5,"0-90",60,"all"
"46","PSDFDF",0.021,2238.5,"2-90",60,"all"
"47","RB",0,3244.5,"0-2",60,"all"
"48","RB",0,506,"0-90",60,"all"
"49","RB",0,83.5,"2-90",60,"all"
