"","var","p_val","v_stat","test","n_group","metoda"
"2","Alow",0.25,54,"0-2",9,"metoda_1"
"3","Alow",0.184,56,"0-90",9,"metoda_1"
"4","Alow",0.86,38,"2-90",9,"metoda_1"
"5","Alow",0.706,205,"0-2",21,"metoda_2"
"6","Alow",0.24,173,"0-90",21,"metoda_2"
"7","Alow",0.032,135,"2-90",21,"metoda_2"
"8","OsPA_A_O1",0.021,14,"0-2",9,"metoda_1"
"9","OsPA_A_O1",0.003,6,"0-90",9,"metoda_1"
"10","OsPA_A_O1",0.929,42,"2-90",9,"metoda_1"
"11","OsPA_A_O1",0.615,200,"0-2",21,"metoda_2"
"12","OsPA_A_O1",0.054,143.5,"0-90",21,"metoda_2"
"13","OsPA_A_O1",0.308,179.5,"2-90",21,"metoda_2"
"14","OsPA_A_O2",0.008,10,"0-2",9,"metoda_1"
"15","OsPA_A_O2",0.157,24,"0-90",9,"metoda_1"
"16","OsPA_A_O2",0.232,54.5,"2-90",9,"metoda_1"
"17","OsPA_A_O2",0.45,190,"0-2",21,"metoda_2"
"18","OsPA_A_O2",0.066,147,"0-90",21,"metoda_2"
"19","OsPA_A_O2",0.624,200.5,"2-90",21,"metoda_2"
"20","OsPA_A_O3",0.005,8,"0-2",9,"metoda_1"
"21","OsPA_A_O3",0.426,31,"0-90",9,"metoda_1"
"22","OsPA_A_O3",0.005,73,"2-90",9,"metoda_1"
"23","OsPA_A_O3",0.546,196,"0-2",21,"metoda_2"
"24","OsPA_A_O3",0.138,161,"0-90",21,"metoda_2"
"25","OsPA_A_O3",0.204,169.5,"2-90",21,"metoda_2"
"26","OsPA_A_O4",0.001,2,"0-2",9,"metoda_1"
"27","OsPA_A_O4",0.003,6,"0-90",9,"metoda_1"
"28","OsPA_A_O4",0.003,74,"2-90",9,"metoda_1"
"29","OsPA_A_O4",0.003,101,"0-2",21,"metoda_2"
"30","OsPA_A_O4",0.001,84,"0-90",21,"metoda_2"
"31","OsPA_A_O4",0.86,213,"2-90",21,"metoda_2"
"32","OsPA_A_n1",1,41,"0-2",9,"metoda_1"
"33","OsPA_A_n1",0.478,32,"0-90",9,"metoda_1"
"34","OsPA_A_n1",0.034,16,"2-90",9,"metoda_1"
"35","OsPA_A_n1",0.32,180.5,"0-2",21,"metoda_2"
"36","OsPA_A_n1",0.274,176.5,"0-90",21,"metoda_2"
"37","OsPA_A_n1",0.421,253,"2-90",21,"metoda_2"
"38","OsPA_A_n2",0.01,70,"0-2",9,"metoda_1"
"39","OsPA_A_n2",0.092,60,"0-90",9,"metoda_1"
"40","OsPA_A_n2",0.077,20,"2-90",9,"metoda_1"
"41","OsPA_A_n2",0.45,251,"0-2",21,"metoda_2"
"42","OsPA_A_n2",0.141,279.5,"0-90",21,"metoda_2"
"43","OsPA_A_n2",0.93,224.5,"2-90",21,"metoda_2"
"44","OsPA_A_n3",0.042,64,"0-2",9,"metoda_1"
"45","OsPA_A_n3",0.063,62,"0-90",9,"metoda_1"
"46","OsPA_A_n3",0.034,16,"2-90",9,"metoda_1"
"47","OsPA_A_n3",0.92,216,"0-2",21,"metoda_2"
"48","OsPA_A_n3",0.285,263.5,"0-90",21,"metoda_2"
"49","OsPA_A_n3",0.98,222,"2-90",21,"metoda_2"
"50","OsPA_A_n4",0.184,56,"0-2",9,"metoda_1"
"51","OsPA_A_n4",0.929,39,"0-90",9,"metoda_1"
"52","OsPA_A_n4",0.021,14,"2-90",9,"metoda_1"
"53","OsPA_A_n4",0.043,301.5,"0-2",21,"metoda_2"
"54","OsPA_A_n4",0.141,279.5,"0-90",21,"metoda_2"
"55","OsPA_A_n4",0.831,211.5,"2-90",21,"metoda_2"
